species,Brain size species mean,Body mass male mean,Body mass female mean,MeanGroupSize,InterbirthInterval (days),Gestation,WeaningAge_d,MaxLongevity_m,HomeRange_km2,,,
Allenopithecus_nigroviridis,58.02,6130.0,3180.0,,,,106.15,276,,,,
Allocebus_trichotis,,92.0,84.0,1,,,,,,,,
Alouatta_belzebul,52.84,7270.0,5520.0,7,,,,,,,,
Alouatta_caraya,52.63,6525.0,4240.0,8,337.62,187,323.16,243.6,,,,
Alouatta_guariba,51.70,5800.0,4550.0,6.53,,,,,0.030,,,
Alouatta_palliata,49.88,7150.0,5350.0,12,684.37,186,495.6,300,0.190,,,
Alouatta_pigra,51.13,11400.0,6430.0,6.6,,187,,240,0.300,,,
Alouatta_seniculus,55.22,6690.0,5210.0,7.1,507.35,190,370.04,300,0.100,,,
Aotus_azarai,20.67,1180.0,1230.0,3.1,365,,229.69,360,0.095,,,
Aotus_brumbacki,,,,3,,,,,,,,
Aotus_lemurinus,16.30,752.8,716.1,,,135,76,405.6,,,,
Aotus_nancymaae,,794.0,780.0,3.9,,,,,,,,
Aotus_nigriceps,,875.0,1040.0,4.1,,,,,0.105,,,
Aotus_trivirgatus,16.85,1044.4,933.3,2.9,271,142,76.21,303.6,0.020,,,
Aotus_vociferans,,708.0,698.0,3.3,,,,265.2,,,,
Arctocebus_calabarensis,6.92,312.0,306.0,,144.47,133,109.26,156,,,,
Ateles_belzebuth,117.02,7850.0,8484.4,22.125,1095,184,,336,2.280,,,
Ateles_fusciceps,114.24,8890.0,9160.0,,882,227,410,552,,,,
Ateles_geoffroyi,105.09,7780.0,7290.0,15,1048.15,232,816.35,327.6,0.730,,,
Ateles_paniscus,103.85,8490.0,8070.0,18.2,1072.18,229,805.41,453.6,1.360,,,
Avahi_laniger,9.86,1106.0,1307.0,3,365,136.15,149.15,,0.010,,,
Avahi_occidentalis,7.95,836.3,766.5,3.5,,,,,0.010,,,
Brachyteles_arachnoides,116.72,9610.0,8070.0,20.9,1028.69,232,734.82,,1.040,,,
